주차장코드,주차장명,총 주차면
172937,목동체비지,55.0
172970,방화역(서),69.0
173047,가양역,79.0
173424,일원역,67.0
173828,남산한옥마을,16.0
173831,도봉산,135.0
1163833,봉천복개3,61.0
1167546,독산동 금천교,21.0
1208601,청계2(북2),9.0
1210657,청계3(북1),19.0
1234305,가마산고가밑,18.0
1235665,청계6(청평화),5.0
1277160,당산노외,236.0
1277163,명일동,11.0
1366527,동작대교,88.0
1366593,구로디지털단지역(상),31.0
1366600,학여울,180.0
1366624,창동역(서),107.0
1366903,석계역,70.0
1367264,적선동,28.0
1367564,해군본부앞,20.0
1367773,가산동 금천교,37.0
1367792,당산고가밑,23.0
1367804,을지로,80.0
1372454,대림노외,93.0
1425816,동국제강,13.0
1437917,영남,570.0
1451364,청계7가,39.0
1451938,청계1(북),12.0
1452019,청계5(북1),25.0
1452024,청계5(동호로_북),6.0
1452025,청계3(창경궁로_북1),11.0
1452337,관철동,7.0
1452441,청계6(북),28.0
1452721,청계2(북1),12.0
1453742,당고개위,23.0
1475224,성내역(잠실나루역),28.0
1477337,동작대교(위),47.0
1496216,압구정고가1,19.0
1496233,동호대교(남),18.0
1496373,압구정고가2,19.0
1499707,대림역2,31.0
1509662,청계5(동호로_남),11.0
1509853,청계3(창경궁로_남),12.0
1510350,청계6(신평화시장앞),7.0
1510496,청계6(동평화),6.0
1511816,마른내길,33.0
1512125,청계8가,19.0
1512129,청계3(동호로),12.0
1540689,청계8가(남),72.0
1545252,문래1동,11.0
1561603,여의서로,84.0
1562029,대림역,18.0
1575315,남부여성발전센터,128.0
1576126,진흥로,14.0
1576208,온수역(남),41.0
1576313,옥수역,31.0
1576347,돈화문로,49.0
1576512,도봉로 15길,16.0
1576530,원효대교 남단,13.0
1577094,마른내로,14.0
1583447,청계8가(북),31.0
1583862,보라매상업,64.0
1585237,영동6교밑,38.0
1586294,배오개길,20.0
1594991,삼각지고가밑,16.0
3187200,파미에(반포천),1186.0
